Player_ID,Player Name,Position,Nationality,Age,Height,Year,Versus,Match_Date,Winner,Serve_Points,Serve_Errors,Serve_Attempts,Total_Serves,Set_Successes,Set_Errors,Set_Attempts,Total_Sets,Attack_Success,Attack Errors,Attack_Attempts,Total_Attacks,Block_Successful,Block_Errors,Block_Rebounds,Total_Blocks,Reception_Successful,Reception_Errors,Reception_Attemps,Total_Receptions,Dig_Success,Dig_Errors,Dig_Attempts,Total_Digs
160209.0,Van Sas Elise,S,Belgium,24.0,188,2021,Netherlands,2021-05-25,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160209.0,Van Sas Elise,S,Belgium,24.0,188,2021,Germany,2021-05-27,False,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
160209.0,Van Sas Elise,S,Belgium,24.0,188,2021,Poland,2021-06-01,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160209.0,Van Sas Elise,S,Belgium,24.0,188,2021,China,2021-06-06,True,0,0,6,6,4,0,12,16,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1
160209.0,Van Sas Elise,S,Belgium,24.0,188,2021,Brazil,2021-06-07,False,0,1,2,3,3,0,20,23,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
160209.0,Van Sas Elise,S,Belgium,24.0,188,2021,Serbia,2021-06-08,True,0,0,0,0,1,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160209.0,Van Sas Elise,S,Belgium,24.0,188,2021,USA,2021-06-12,False,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160209.0,Van Sas Elise,S,Belgium,24.0,188,2021,Japan,2021-06-14,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160209.0,Van Sas Elise,S,Belgium,24.0,188,2021,Thailand,2021-06-18,True,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160209.0,Van Sas Elise,S,Belgium,24.0,188,2021,Italy,2021-06-19,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160209.0,Van Sas Elise,S,Belgium,24.0,188,2021,Canada,2021-06-20,True,1,1,2,4,2,0,10,12,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,2
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,Netherlands,2021-05-25,False,0,2,5,7,0,0,0,0,13,3,20,36,0,2,6,8,10,1,7,18,2,0,1,3
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,Russia,2021-05-26,False,2,1,17,20,0,0,3,3,27,13,28,68,0,4,2,6,6,0,7,13,15,3,2,20
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,Germany,2021-05-27,False,1,2,6,9,0,0,2,2,11,4,17,32,0,1,0,1,4,1,9,14,0,0,0,0
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,Dominican Republic,2021-05-31,True,0,2,16,18,0,0,0,0,32,5,29,66,1,5,5,11,2,0,8,10,14,4,0,18
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,Poland,2021-06-01,True,1,2,13,16,0,0,5,5,19,8,26,53,0,5,5,10,0,0,3,3,9,3,5,17
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,China,2021-06-06,True,1,2,10,13,0,0,2,2,26,8,33,67,1,3,1,5,2,0,3,5,7,4,2,13
152042.0,Herbots Britt,OH,Belgium,22.0,182,2021,Brazil,2021-06-07,False,0,0,7,7,0,0,0,0,12,4,11,27,0,3,0,3,5,0,14,19,2,1,2,5
